100 Block Address,Offense ID,Longitude,Latitude
6XX BLOCK OF NW 86TH ST,32,-122.3646613043125,47.69137173
54XX BLOCK OF 41ST AVE SW,29,-122.384251675137931,47.55296471
116XX BLOCK OF 2ND AVE NW,14,-122.359539347,47.7135134
36XX BLOCK OF 14TH AVE W,117,-122.374904276,47.65308276008547
N 47TH ST / FREMONT AVE N,14,-122.350028429,47.66287542
47TH AVE SW / SW ALASKA ST,2,-122.392179079,47.56115027
SYLVAN WAY SW / HIGH POINT DR SW,1,-122.370607457,47.54283237
26XX BLOCK OF W ARMOUR ST,4,-122.390883759,47.6446135
35TH AVE SW / SW 104TH ST,2,-122.375865717,47.50998299
1XX BLOCK OF N 59TH ST,41,-122.356538683146342,47.67185273
44TH AVE SW / SW CAMBRIDGE ST,1,-122.389603819,47.51824792
7XX BLOCK OF 24TH AVE,61,-122.301470248901639,47.608511199836066
96XX BLOCK OF 14TH AVE SW,1,-122.35287386,47.51643704
54XX BLOCK OF 40TH AVE SW,27,-122.382951958037037,47.55294752
46XX BLOCK OF SUNNYSIDE AVE N,140,-122.330143058892857,47.663848635142857
S NORMAN ST / YAKIMA PL S,2,-122.293354193,47.59329725
LAKE WASHINGTON BLVD S / S HORTON ST,8,-122.281070677,47.57418136
3XX BLOCK OF 5TH AVE,31,-122.327684531096774,47.60199368
10TH AVE / E MADISON ST,1,-122.3193478,47.61175788
42XX BLOCK OF 29TH AVE W,11,-122.394925616909091,47.65804989
88XX BLOCK OF 4TH AVE S,20,-122.3297219221,47.5238198495
78XX BLOCK OF CALIFORNIA AVE SW,4,-122.387348341,47.53260232
75XX BLOCK OF 29TH AVE NW,30,-122.3943726222,47.68400533
53XX BLOCK OF 51ST AVE S,7,-122.269832345,47.55372857
38XX BLOCK OF 48TH AVE NE,20,-122.275653219,47.6559832
37TH AVE S / S BRANDON ST,1,-122.286117322,47.55344782
44XX BLOCK OF 33RD AVE S,31,-122.291445225903226,47.56359838
BROADWAY / E PINE ST,320,-122.320798654,47.61523531
7XX BLOCK OF W BLAINE ST,7,-122.367002547142857,47.634756368571429
21XX BLOCK OF TERRY AVE,85,-122.336733862247059,47.61814669
N 97TH ST / PHINNEY AVE N,1,-122.354051828,47.69964608
17XX BLOCK OF 36TH AVE,5,-122.287003458,47.61681344
35XX BLOCK OF 5TH AVE S,8,-122.32751240975,47.57521773875
29XX BLOCK OF SW BRANDON ST,1,-122.370259932,47.55375557
5XX BLOCK NE NORTHGATE WAY,3,-122.321918379,47.70858578
10XX BLOCK OF E HAMLIN ST,1,-122.318960919,47.64561714
90XX BLOCK OF 30TH AVE SW,39,-122.371309822102564,47.52195107
S HOMER ST / AIRPORT WAY S,5,-122.318413283,47.55076114
37TH AVE NE / NE 68TH ST,2,-122.288184274,47.67760011
54XX BLOCK OF 46TH AVE SW,41,-122.391073422292683,47.55305691
S HILL ST / 15TH AVE S,1,-122.313379014,47.58454435
10XX BLOCK OF E MADISON ST,24,-122.318838316083333,47.61197017
73XX BLOCK OF 21ST AVE NW,23,-122.383236338086956,47.6822598
E SPRING ST / 30TH AVE,2,-122.293769534,47.61166673
