GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53002700012005,530270012005,53,27,1200,5,1001,47,102,50,155,112,0,535,387,714,88400
G53002700013001,530270013001,53,27,1300,1,514,8,8,0,0,70,0,428,226,1257,131100
G53002700013002,530270013002,53,27,1300,2,1036,121,48,78,65,159,110,455,414,860,81300
G53002700013003,530270013003,53,27,1300,3,1298,56,319,47,124,126,79,547,626,646,103100
G53002700013004,530270013004,53,27,1300,4,512,72,110,6,49,0,12,263,282,625,86500
G53002700014001,530270014001,53,27,1400,1,1194,177,106,61,56,191,45,558,527,805,127100
G53002700014002,530270014002,53,27,1400,2,871,128,189,81,85,38,9,341,407,626,73900
G53002700015001,530270015001,53,27,1500,1,981,232,278,136,8,67,8,252,645,534,106700
G53002700015002,530270015002,53,27,1500,2,2937,226,373,61,111,182,151,1833,1201,640,122600
G53002700016001,530270016001,53,27,1600,1,1337,122,230,80,85,181,26,613,1176,591,160200
G53002700016002,530270016002,53,27,1600,2,1038,28,15,63,0,157,16,759,531,,123200
G53002700016003,530270016003,53,27,1600,3,489,64,87,39,48,10,33,208,829,,
G53002700016004,530270016004,53,27,1600,4,1250,101,235,21,84,102,163,544,979,604,139600
G53002709400001,530279400001,53,27,940000,1,1094,144,276,117,77,111,4,365,400,467,89200
G53002709900000,530279900000,53,27,990000,0,0,0,0,0,0,0,0,0,0,,
G53002909701001,530299701001,53,29,970100,1,934,24,39,0,22,49,0,800,468,848,180600
G53002909701002,530299701002,53,29,970100,2,1702,70,44,65,9,112,84,1318,782,1310,272200
G53002909702001,530299702001,53,29,970200,1,408,23,26,78,0,101,0,180,243,997,212500
G53002909703001,530299703001,53,29,970300,1,574,66,123,36,0,118,0,231,326,811,
G53002909703002,530299703002,53,29,970300,2,1032,9,30,0,33,0,0,960,529,838,283500
G53002909703003,530299703003,53,29,970300,3,986,0,0,6,0,107,70,803,470,1099,258300
G53002909703004,530299703004,53,29,970300,4,1798,12,0,181,73,0,30,1502,960,1065,328900
G53002909704001,530299704001,53,29,970400,1,590,53,93,0,51,0,8,385,286,888,
G53002909704002,530299704002,53,29,970400,2,2318,352,175,228,459,145,0,959,944,881,201400
G53002909704003,530299704003,53,29,970400,3,3572,266,206,0,185,417,0,2498,1248,1262,237800
G53002909705001,530299705001,53,29,970500,1,2507,131,154,0,215,42,0,1965,996,1759,297600
G53002909705002,530299705002,53,29,970500,2,1059,0,14,0,71,0,59,915,477,705,263500
G53002909705003,530299705003,53,29,970500,3,1506,92,126,0,0,0,0,1288,593,1474,366100
G53002909705004,530299705004,53,29,970500,4,548,0,0,0,45,13,23,467,286,,234100
G53002909706011,530299706011,53,29,970601,1,1329,3,76,42,43,57,101,1007,744,745,216900
G53002909706012,530299706012,53,29,970601,2,1395,25,0,33,34,360,11,932,424,1545,224300
G53002909706013,530299706013,53,29,970601,3,740,157,44,67,16,16,0,440,471,832,
G53002909706021,530299706021,53,29,970602,1,656,29,155,35,43,11,35,348,436,984,238500
G53002909706022,530299706022,53,29,970602,2,1378,128,22,12,23,88,78,1027,631,846,229500
G53002909706023,530299706023,53,29,970602,3,1141,122,38,196,37,106,0,642,507,1244,231900
G53002909707001,530299707001,53,29,970700,1,1153,84,161,60,119,84,141,504,701,683,168900
