county,tract,bg,state,BlockGroup,sduni14,sdelm14,sdsec14,sdbest14,sdbesttype14,cd114,hsa,stab,cntyname,eschlnm14,sschlnm14,uschlnm14,bschlnm14,hsaname,intptlon,intptlat,pop14,afact
53033,32.00,6,53,530330032006,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.404452,47.667825,0,0
53033,32.00,6,53,530330032006,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.403685,47.675723,1687.668596,1
53033,32.00,7,53,530330032007,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.397367,47.677441,1200.861828,1
53033,33.00,1,53,530330033001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.371099,47.678069,1268.713214,1
53033,33.00,2,53,530330033002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.369915,47.674115,1194.399792,1
53033,33.00,3,53,530330033003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.377171,47.674166,1824.448374,1
53033,33.00,4,53,530330033004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.385218,47.67469,1268.713214,1
53033,33.00,5,53,530330033005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.382043,47.677927,1147.011522,1
53033,34.00,1,53,530330034001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.361746,47.674076,1227.786981,1
53033,34.00,2,53,530330034002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.361624,47.677788,1226.709975,1
53033,34.00,3,53,530330034003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.361628,47.670604,1101.777265,1
53033,35.00,1,53,530330035001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.352286,47.67786,1509.962586,1
53033,35.00,2,53,530330035002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.3528,47.674097,1437.803176,1
53033,35.00,3,53,530330035003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.355434,47.668907,1291.330343,1
53033,36.00,1,53,530330036001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.319222,47.676591,1365.643765,1
53033,36.00,2,53,530330036002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.324093,47.681326,1380.721851,1
53033,36.00,3,53,530330036003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.328186,47.6741,1392.568918,1
53033,36.00,4,53,530330036004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.325823,47.677681,1969.844201,1
53033,38.00,1,53,530330038001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.292633,47.678615,1181.475718,1
